Place,Region,County,Link,Link2,Geo Merge,latitude,longitude
Winchester,Southeast,Hampshire,"https://en.wikipedia.org/wiki/Winchester,_Hampshire",https://en.wikipedia.org/wiki/Winchester,51.0632?N 1.308?W,51.0632,-1.308
Crowborough,Southeast,East Sussex,"https://en.wikipedia.org/wiki/Crowborough,_East Sussex",https://en.wikipedia.org/wiki/Crowborough,51.06?N 0.16?E,51.06,0.16
Farnham,Southeast,Surrey,"https://en.wikipedia.org/wiki/Farnham,_Surrey",https://en.wikipedia.org/wiki/Farnham,51.21?N 0.80?W,51.21,-0.8
Finchampstead,Southeast,Berkshire,"https://en.wikipedia.org/wiki/Finchampstead,_Berkshire",https://en.wikipedia.org/wiki/Finchampstead,51.361?N 0.860?W,51.361,-0.86
Godalming,Southeast,Surrey,"https://en.wikipedia.org/wiki/Godalming,_Surrey",https://en.wikipedia.org/wiki/Godalming,51.18?N 0.61?W,51.18,-0.61
Hambledon,Southeast,Hampshire,"https://en.wikipedia.org/wiki/Hambledon,_Hampshire",https://en.wikipedia.org/wiki/Hambledon,50.9307?N 1.0799?W,50.9307,-1.0799
Harpenden,Southeast,Hertfordshire,"https://en.wikipedia.org/wiki/Harpenden,_Hertfordshire",https://en.wikipedia.org/wiki/Harpenden,51.8175?N 0.3524?W,51.8175,-0.3524
Hove,Southeast,East Sussex,"https://en.wikipedia.org/wiki/Hove,_East Sussex",https://en.wikipedia.org/wiki/Hove,50.8352?N 0.1758?W,50.8352,-0.1758
Lymington,Southeast,Hampshire,"https://en.wikipedia.org/wiki/Lymington,_Hampshire",https://en.wikipedia.org/wiki/Lymington,50.75?N 1.55?W,50.75,-1.55
Margate,Southeast,Kent,"https://en.wikipedia.org/wiki/Margate,_Kent",https://en.wikipedia.org/wiki/Margate,51.3850?N 1.3838?E,51.385,1.3838
Marlow,Southeast,Buckinghamshire,"https://en.wikipedia.org/wiki/Marlow,_Buckinghamshire",https://en.wikipedia.org/wiki/Marlow,51.566667?N 0.766667?W,51.566667,-0.766667
St Albans,Southeast,Hertfordshire,"https://en.wikipedia.org/wiki/St Albans,_Hertfordshire",https://en.wikipedia.org/wiki/St Albans,51.755?N 0.336?W,51.755,-0.336
Stockbridge,Southeast,Hampshire,"https://en.wikipedia.org/wiki/Stockbridge,_Hampshire",https://en.wikipedia.org/wiki/Stockbridge,51.114003?N 1.490646?W,51.114003,-1.490646
Tadley,Southeast,Hampshire,"https://en.wikipedia.org/wiki/Tadley,_Hampshire",https://en.wikipedia.org/wiki/Tadley,51.3506?N 1.1376?W,51.3506,-1.1376
Wallingford,Southeast,Oxfordshire,"https://en.wikipedia.org/wiki/Wallingford,_Oxfordshire",https://en.wikipedia.org/wiki/Wallingford,51.599?N 1.125?W,51.599,-1.125
Kingham,Southwest,Oxfordshire,"https://en.wikipedia.org/wiki/Kingham,_Oxfordshire",https://en.wikipedia.org/wiki/Kingham,51.905?N 1.614?W,51.905,-1.614
Bath,Southwest,Somerset,"https://en.wikipedia.org/wiki/Bath,_Somerset",https://en.wikipedia.org/wiki/Bath,51.38?N 2.36?W,51.38,-2.36
Cheltenham,Southwest,Gloucestershire,"https://en.wikipedia.org/wiki/Cheltenham,_Gloucestershire",https://en.wikipedia.org/wiki/Cheltenham,51.883?N 2.067?W,51.883,-2.067
Exeter,Southwest,Devon,"https://en.wikipedia.org/wiki/Exeter,_Devon",https://en.wikipedia.org/wiki/Exeter,50.717?N 3.533?W,50.717,-3.533
Falmouth,Southwest,Cornwall,"https://en.wikipedia.org/wiki/Falmouth,_Cornwall",https://en.wikipedia.org/wiki/Falmouth,50.15?N 5.07?W,50.15,-5.07
Bristol,Southwest,Avon,"https://en.wikipedia.org/wiki/Bristol,_Avon",https://en.wikipedia.org/wiki/Bristol,51.450?N 2.583?W,51.45,-2.583
Blockley,Southwest,Gloucestershire,"https://en.wikipedia.org/wiki/Blockley,_Gloucestershire",https://en.wikipedia.org/wiki/Blockley,52.016?N 1.760?W,52.016,-1.76
Chagford,Southwest,Devon,"https://en.wikipedia.org/wiki/Chagford,_Devon",https://en.wikipedia.org/wiki/Chagford,50.6728?N 3.8404?W,50.6728,-3.8404
Exmoor,Southwest,Devon,"https://en.wikipedia.org/wiki/Exmoor,_Devon",https://en.wikipedia.org/wiki/Exmoor,51.16250?N 3.58861?W,51.1625,-3.58861
Frome,Southwest,Somerset,"https://en.wikipedia.org/wiki/Frome,_Somerset",https://en.wikipedia.org/wiki/Frome,51.2279?N 2.3215?W,51.2279,-2.3215
Kingsbridge,Southwest,Devon,"https://en.wikipedia.org/wiki/Kingsbridge,_Devon",https://en.wikipedia.org/wiki/Kingsbridge,50.2833?N 3.7765?W,50.2833,-3.7765
Lizard Peninsula,Southwest,Cornwall,"https://en.wikipedia.org/wiki/Lizard Peninsula,_Cornwall",https://en.wikipedia.org/wiki/Lizard Peninsula,50.033?N 5.183?W,50.033,-5.183
Lyme Regis,Southwest,Dorset,"https://en.wikipedia.org/wiki/Lyme Regis,_Dorset",https://en.wikipedia.org/wiki/Lyme Regis,50.725?N 2.940?W,50.725,-2.94
