location,postcode
St Ives,TR26 2DS
Aldeburgh,IP15 5DS
Lewes,BN7 2QS
Hay-on-Wye,HR3 5BL
Stratford-upon-Avon,CV37 6EF
Bath,BA1 5AW
Oxford,OX1 1BX
Isle of Wight,PO30 1UD
Gateshead,NE8 1HE
Malvern,WR14 4PZ
Norwich,NR2 1NH
Margate,CT9 1XZ
St Davids,SA62 6SD
Llangollen,LL20 8PW
Wakefield,WF9 4PU
Staithes,TS13 5BQ
Stroud,GL5 2AD
Hebden Bridge,HX7 7BY
Bruton,BA10 0AA
