hmc school,wikipedia link,postcode
The Grange School,https://en.wikipedia.org/wiki/The_Grange_School,CW8 1LU
Gresham's School,https://en.wikipedia.org/wiki/Gresham's_School,NR25 6EA
Guildford High School,https://en.wikipedia.org/wiki/Guildford_High_School,GU1 1SJ
The Haberdashers' Aske's Boys' School,https://en.wikipedia.org/wiki/The_Haberdashers'_Aske's_Boys'_School,WD6 3AF
Haileybury and Imperial Service College,https://en.wikipedia.org/wiki/Haileybury_and_Imperial_Service_College,SG13 7NU
Halliford School,https://en.wikipedia.org/wiki/Halliford_School,TW17 9HX
Hampton School,https://en.wikipedia.org/wiki/Hampton_School,TW12 3HD
Harrow School,https://en.wikipedia.org/wiki/Harrow_School,HA1 3HP
Hereford Cathedral School,https://en.wikipedia.org/wiki/Hereford_Cathedral_School,HR1 2NG
Highgate School,https://en.wikipedia.org/wiki/Highgate_School,N6 4AY
Hurstpierpoint College,https://en.wikipedia.org/wiki/Hurstpierpoint_College,BN6 9JS
Hymers College,https://en.wikipedia.org/wiki/Hymers_College,HU3 1LW
Immanuel College,https://en.wikipedia.org/wiki/Immanuel_College,WD23 4EB
Ipswich School,https://en.wikipedia.org/wiki/Ipswich_School,IP1 3SG
James Allen's Girls' School,https://en.wikipedia.org/wiki/James_Allen's_Girls'_School,SE22 8T
The John Lyon School,https://en.wikipedia.org/wiki/The_John_Lyon_School,HA1 0HN
Kent College,https://en.wikipedia.org/wiki/Kent_College,CT2 9DT
"Kent College, Pembury","https://en.wikipedia.org/wiki/Kent_College,_Pembury",TN2 4AX
Kimbolton School,https://en.wikipedia.org/wiki/Kimbolton_School,PE28 0EA
"King Edward VI School, Southampton","https://en.wikipedia.org/wiki/King_Edward_VI_School,_Southampton",SO15 5UQ
"King Edward's School, Bath","https://en.wikipedia.org/wiki/King_Edward's_School,_Bath",BA2 6HU
"King Edward's School, Birmingham","https://en.wikipedia.org/wiki/King_Edward's_School,_Birmingham",B15 2UA
"King Edward's School, Witley","https://en.wikipedia.org/wiki/King_Edward's_School,_Witley",GU8 5SG
King Henry VIII School,https://en.wikipedia.org/wiki/King_Henry_VIII_School,CV3 6AQ
"King's College, Taunton","https://en.wikipedia.org/wiki/King's_College,_Taunton",TA1 3LA
King's College School,https://en.wikipedia.org/wiki/King's_College_School,SW19 4TT
"King's School, Bruton","https://en.wikipedia.org/wiki/King's_School,_Bruton",BA10 0ED
"The King's School, Canterbury","https://en.wikipedia.org/wiki/The_King's_School,_Canterbury",CT1 2ES
"The King's School, Chester","https://en.wikipedia.org/wiki/The_King's_School,_Chester",CH4 7QL
"The King's School, Ely","https://en.wikipedia.org/wiki/The_King's_School,_Ely",CB7 4DB
"The King's School, Gloucester","https://en.wikipedia.org/wiki/The_King's_School,_Gloucester",GL1 2BG
"The King's School, Macclesfield","https://en.wikipedia.org/wiki/The_King's_School,_Macclesfield",SK10 1DA
"The King's School, Rochester","https://en.wikipedia.org/wiki/The_King's_School,_Rochester",ME1 1TE
"The King's School, Worcester","https://en.wikipedia.org/wiki/The_King's_School,_Worcester",WR1 2LL
Kingston Grammar School,https://en.wikipedia.org/wiki/Kingston_Grammar_School,KT2 6PY
Kingswood School,https://en.wikipedia.org/wiki/Kingswood_School,BA1 5RG
Kirkham Grammar School,https://en.wikipedia.org/wiki/Kirkham_Grammar_School,PR4 2BH
The Lady Eleanor Holles School,https://en.wikipedia.org/wiki/The_Lady_Eleanor_Holles_School,TW12 3HF
Lancing College,https://en.wikipedia.org/wiki/Lancing_College,BN15 0RW
Latymer Upper School,https://en.wikipedia.org/wiki/Latymer_Upper_School,W6 9LR
Leicester Grammar School,https://en.wikipedia.org/wiki/Leicester_Grammar_School,LE8 9FL
Leighton Park School,https://en.wikipedia.org/wiki/Leighton_Park_School,RG2 7ED
